Año_mes,Celula,Asesor,0021_meta,0022_ventas,0031_ventas_mismo_mes,0032_ventas_mes_anterior,0033_ventas_0_a_100,0024_seg_atrasados,0025_seg_abiertos,0026_descartes_totales,0027_seg_creados_mismo_mes,0028_descartes_mismo_mes,00291_descartes_dia,00292_avg_seg_creados_dia,0023_%_cumplimiento,0045_%_Efectividad_SQL,0044_%_Ventas_mercadeo,0041_%_Ventas_leads_mes,0042_%_Ventas_leads_mes_anterior,0043_%_Ventas_leads_cero_a_cien,0029_%_descarte_mismo_mes,Año,numero_mes,nombre_mes
202112,DG4,A25,79.0,35.0,16.0,3.0,9.0,1.0,50.0,124.0,153.0,100.0,0.0,7.3,0.443,0.1046,0.5429,0.4571,0.0857,0.2571,0.6536,2021,12,diciembre
202112,DG4,A39,79.0,50.0,26.0,3.0,11.0,0.0,40.0,153.0,167.0,110.0,6.0,8.0,0.6329,0.1557,0.58,0.52,0.06,0.22,0.6587,2021,12,diciembre
202112,DG4,A44,79.0,37.0,22.0,3.0,9.0,1.0,29.0,85.0,92.0,51.0,1.0,4.4,0.4684,0.2391,0.6757,0.5946,0.0811,0.2432,0.5543,2021,12,diciembre
202112,DG4,A46,79.0,49.0,12.0,3.0,4.0,0.0,30.0,109.0,114.0,82.0,8.0,5.4,0.6203,0.1053,0.3061,0.2449,0.0612,0.0816,0.7193,2021,12,diciembre
202112,DG4,A47,79.0,39.0,11.0,1.0,6.0,0.0,43.0,117.0,82.0,42.0,3.0,3.9,0.4937,0.1341,0.3077,0.2821,0.0256,0.1538,0.5122,2021,12,diciembre
202112,DG4,A54,55.0,26.0,20.0,2.0,9.0,0.0,29.0,100.0,119.0,76.0,4.0,5.7,0.4727,0.1681,0.8462,0.7692,0.0769,0.3462,0.6387,2021,12,diciembre
202112,DG4,A77,79.0,26.0,14.0,3.0,9.0,2.0,24.0,73.0,94.0,54.0,3.0,4.5,0.3291,0.1489,0.6538,0.5385,0.1154,0.3462,0.5745,2021,12,diciembre
202112,DG4,A81,79.0,4.0,1.0,1.0,1.0,0.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0506,1.0,0.5,0.25,0.25,0.25,0.0,2021,12,diciembre
202112,DG4,A82,55.0,42.0,3.0,2.0,1.0,0.0,67.0,140.0,181.0,118.0,0.0,8.6,0.7636,0.0166,0.119,0.0714,0.0476,0.0238,0.6519,2021,12,diciembre
202112,DG4,A83,79.0,56.0,27.0,8.0,13.0,0.0,30.0,146.0,143.0,96.0,2.0,6.8,0.7089,0.1888,0.625,0.4821,0.1429,0.2321,0.6713,2021,12,diciembre
202112,DG5,A13,79.0,40.0,14.0,5.0,9.0,5.0,37.0,80.0,91.0,59.0,4.0,4.3,0.5063,0.1538,0.475,0.35,0.125,0.225,0.6484,2021,12,diciembre
202112,DG5,A31,20.0,36.0,24.0,3.0,9.0,2.0,37.0,73.0,93.0,46.0,3.0,4.4,1.8,0.2581,0.75,0.6667,0.0833,0.25,0.4946,2021,12,diciembre
202112,DG5,A34,54.0,73.0,43.0,5.0,31.0,0.0,28.0,44.0,73.0,17.0,0.0,3.5,1.3519,0.589,0.6575,0.589,0.0685,0.4247,0.2329,2021,12,diciembre
202112,DG5,A49,79.0,33.0,12.0,0.0,5.0,0.0,18.0,69.0,94.0,65.0,6.0,4.5,0.4177,0.1277,0.3636,0.3636,0.0,0.1515,0.6915,2021,12,diciembre
202112,DG5,A50,79.0,38.0,8.0,4.0,2.0,2.0,35.0,95.0,106.0,77.0,0.0,5.0,0.481,0.0755,0.3158,0.2105,0.1053,0.0526,0.7264,2021,12,diciembre
202112,DG5,A53,20.0,11.0,7.0,4.0,5.0,9.0,15.0,39.0,28.0,17.0,0.0,1.3,0.55,0.25,1.0,0.6364,0.3636,0.4545,0.6071,2021,12,diciembre
202112,DG5,A55,79.0,34.0,15.0,3.0,8.0,10.0,29.0,103.0,116.0,90.0,0.0,5.5,0.4304,0.1293,0.5294,0.4412,0.0882,0.2353,0.7759,2021,12,diciembre
202112,DG5,A56,79.0,46.0,17.0,2.0,12.0,9.0,43.0,136.0,153.0,106.0,1.0,7.3,0.5823,0.1111,0.413,0.3696,0.0435,0.2609,0.6928,2021,12,diciembre
202112,DG5,A64,79.0,48.0,22.0,4.0,14.0,0.0,25.0,154.0,164.0,122.0,1.0,7.8,0.6076,0.1341,0.5417,0.4583,0.0833,0.2917,0.7439,2021,12,diciembre
202112,DG5,A79,79.0,26.0,7.0,4.0,2.0,2.0,50.0,57.0,49.0,20.0,0.0,2.3,0.3291,0.1429,0.4231,0.2692,0.1538,0.0769,0.4082,2021,12,diciembre
202112,DG5,A84,79.0,57.0,13.0,1.0,9.0,0.0,34.0,35.0,48.0,25.0,16.0,2.3,0.7215,0.2708,0.2456,0.2281,0.0175,0.1579,0.5208,2021,12,diciembre
202112,DG5,A111,79.0,50.0,9.0,7.0,2.0,2.0,29.0,36.0,32.0,12.0,0.0,1.5,0.6329,0.2812,0.32,0.18,0.14,0.04,0.375,2021,12,diciembre
202112,DG6,A6,79.0,73.0,19.0,4.0,13.0,0.0,29.0,106.0,109.0,74.0,10.0,5.2,0.9241,0.1743,0.3151,0.2603,0.0548,0.1781,0.6789,2021,12,diciembre
202112,DG6,A22,79.0,73.0,28.0,6.0,18.0,0.0,28.0,93.0,115.0,68.0,10.0,5.5,0.9241,0.2435,0.4658,0.3836,0.0822,0.2466,0.5913,2021,12,diciembre
202112,DG6,A29,79.0,28.0,17.0,2.0,11.0,0.0,42.0,69.0,84.0,42.0,4.0,4.0,0.3544,0.2024,0.6786,0.6071,0.0714,0.3929,0.5,2021,12,diciembre
202112,DG6,A30,20.0,25.0,8.0,2.0,4.0,3.0,21.0,64.0,68.0,42.0,0.0,3.2,1.25,0.1176,0.4,0.32,0.08,0.16,0.6176,2021,12,diciembre
202112,DG6,A48,79.0,80.0,35.0,25.0,13.0,5.0,44.0,64.0,126.0,57.0,9.0,6.0,1.0127,0.2778,0.75,0.4375,0.3125,0.1625,0.4524,2021,12,diciembre
202112,DG6,A52,55.0,20.0,11.0,3.0,4.0,3.0,21.0,63.0,70.0,41.0,1.0,3.3,0.3636,0.1571,0.7,0.55,0.15,0.2,0.5857,2021,12,diciembre
202112,DG6,A65,79.0,54.0,25.0,4.0,17.0,0.0,35.0,112.0,125.0,76.0,6.0,6.0,0.6835,0.2,0.537,0.463,0.0741,0.3148,0.608,2021,12,diciembre
202112,DG6,A73,54.0,46.0,6.0,1.0,1.0,5.0,4.0,23.0,23.0,16.0,0.0,1.1,0.8519,0.2609,0.1522,0.1304,0.0217,0.0217,0.6957,2021,12,diciembre
202112,DG6,A76,50.0,38.0,23.0,5.0,13.0,0.0,48.0,64.0,81.0,35.0,5.0,3.9,0.76,0.284,0.7368,0.6053,0.1316,0.3421,0.4321,2021,12,diciembre
202112,DG6,A89,79.0,54.0,11.0,3.0,5.0,1.0,21.0,67.0,70.0,47.0,9.0,3.3,0.6835,0.1571,0.2593,0.2037,0.0556,0.0926,0.6714,2021,12,diciembre
202112,DG6,A103,79.0,43.0,21.0,2.0,6.0,4.0,24.0,85.0,106.0,66.0,3.0,5.0,0.5443,0.1981,0.5349,0.4884,0.0465,0.1395,0.6226,2021,12,diciembre
202112,DG6,A106,13.0,31.0,20.0,1.0,11.0,0.0,20.0,82.0,96.0,63.0,2.0,4.6,2.3846,0.2083,0.6774,0.6452,0.0323,0.3548,0.6562,2021,12,diciembre
202112,DG6,A109,79.0,30.0,7.0,4.0,2.0,0.0,26.0,70.0,69.0,44.0,4.0,3.3,0.3797,0.1014,0.3667,0.2333,0.1333,0.0667,0.6377,2021,12,diciembre
202111,DG1,A7,83.0,56.0,14.0,2.0,3.0,0.0,4.0,50.0,53.0,34.0,4.0,2.7,0.6747,0.2642,0.2857,0.25,0.0357,0.0536,0.6415,2021,11,noviembre
202111,DG1,A16,83.0,43.0,24.0,6.0,10.0,0.0,61.0,29.0,71.0,18.0,0.0,3.6,0.5181,0.338,0.6977,0.5581,0.1395,0.2326,0.2535,2021,11,noviembre
202111,DG1,A18,17.0,21.0,12.0,3.0,5.0,1.0,28.0,39.0,54.0,25.0,2.0,2.7,1.2353,0.2222,0.7143,0.5714,0.1429,0.2381,0.463,2021,11,noviembre
202111,DG1,A19,83.0,55.0,18.0,2.0,10.0,18.0,18.0,20.0,37.0,9.0,0.0,1.9,0.6627,0.4865,0.3636,0.3273,0.0364,0.1818,0.2432,2021,11,noviembre
202111,DG1,A20,11.0,28.0,12.0,2.0,5.0,1.0,12.0,45.0,41.0,18.0,2.0,2.1,2.5455,0.2927,0.5,0.4286,0.0714,0.1786,0.439,2021,11,noviembre
202111,DG1,A26,83.0,27.0,9.0,2.0,2.0,9.0,32.0,29.0,41.0,9.0,1.0,2.1,0.3253,0.2195,0.4074,0.3333,0.0741,0.0741,0.2195,2021,11,noviembre
202111,DG1,A37,83.0,32.0,11.0,1.0,7.0,7.0,29.0,76.0,61.0,38.0,1.0,3.1,0.3855,0.1803,0.375,0.3438,0.0312,0.2188,0.623,2021,11,noviembre
202111,DG1,A40,17.0,13.0,8.0,3.0,1.0,0.0,31.0,12.0,36.0,3.0,1.0,1.8,0.7647,0.2222,0.8462,0.6154,0.2308,0.0769,0.0833,2021,11,noviembre
202111,DG1,A57,83.0,37.0,12.0,1.0,3.0,25.0,41.0,28.0,46.0,6.0,0.0,2.3,0.4458,0.2609,0.3514,0.3243,0.027,0.0811,0.1304,2021,11,noviembre
202111,DG1,A71,83.0,69.0,34.0,9.0,20.0,0.0,61.0,63.0,81.0,6.0,0.0,4.1,0.8313,0.4198,0.6232,0.4928,0.1304,0.2899,0.0741,2021,11,noviembre
202111,DG1,A91,83.0,40.0,17.0,2.0,7.0,0.0,21.0,40.0,49.0,22.0,1.0,2.5,0.4819,0.3469,0.475,0.425,0.05,0.175,0.449,2021,11,noviembre
202111,DG1,A94,17.0,6.0,4.0,0.0,1.0,29.0,28.0,30.0,43.0,19.0,2.0,2.2,0.3529,0.093,0.6667,0.6667,0.0,0.1667,0.4419,2021,11,noviembre
202111,DG1,A99,83.0,32.0,10.0,2.0,7.0,1.0,23.0,30.0,41.0,17.0,2.0,2.1,0.3855,0.2439,0.375,0.3125,0.0625,0.2188,0.4146,2021,11,noviembre
202111,DG1,A112,83.0,50.0,18.0,8.0,11.0,1.0,42.0,58.0,74.0,27.0,7.0,3.7,0.6024,0.2432,0.52,0.36,0.16,0.22,0.3649,2021,11,noviembre
202111,DG2,A4,17.0,18.0,8.0,1.0,4.0,18.0,23.0,51.0,59.0,34.0,0.0,3.0,1.0588,0.1356,0.5,0.4444,0.0556,0.2222,0.5763,2021,11,noviembre
202111,DG2,A8,83.0,33.0,9.0,4.0,4.0,2.0,28.0,32.0,47.0,13.0,1.0,2.4,0.3976,0.1915,0.3939,0.2727,0.1212,0.1212,0.2766,2021,11,noviembre
202111,DG2,A9,11.0,16.0,10.0,1.0,6.0,12.0,19.0,9.0,36.0,9.0,0.0,1.8,1.4545,0.2778,0.6875,0.625,0.0625,0.375,0.25,2021,11,noviembre
202111,DG2,A38,83.0,82.0,40.0,6.0,15.0,2.0,52.0,73.0,121.0,45.0,7.0,6.1,0.988,0.3306,0.561,0.4878,0.0732,0.1829,0.3719,2021,11,noviembre
202111,DG2,A45,83.0,92.0,43.0,12.0,16.0,5.0,59.0,66.0,98.0,26.0,0.0,4.9,1.1084,0.4388,0.5978,0.4674,0.1304,0.1739,0.2653,2021,11,noviembre
202111,DG2,A51,83.0,30.0,15.0,2.0,6.0,1.0,44.0,58.0,80.0,39.0,22.0,4.0,0.3614,0.1875,0.5667,0.5,0.0667,0.2,0.4875,2021,11,noviembre
202111,DG2,A58,17.0,22.0,12.0,2.0,6.0,0.0,25.0,40.0,43.0,21.0,3.0,2.2,1.2941,0.2791,0.6364,0.5455,0.0909,0.2727,0.4884,2021,11,noviembre
202111,DG2,A62,83.0,61.0,29.0,5.0,16.0,0.0,35.0,100.0,111.0,55.0,8.0,5.6,0.7349,0.2613,0.5574,0.4754,0.082,0.2623,0.4955,2021,11,noviembre
202111,DG2,A68,83.0,61.0,25.0,5.0,14.0,1.0,62.0,97.0,135.0,62.0,1.0,6.8,0.7349,0.1852,0.4918,0.4098,0.082,0.2295,0.4593,2021,11,noviembre
202111,DG2,A93,83.0,60.0,14.0,3.0,4.0,0.0,33.0,46.0,53.0,23.0,4.0,2.7,0.7229,0.2642,0.2833,0.2333,0.05,0.0667,0.434,2021,11,noviembre
202111,DG2,A96,83.0,31.0,6.0,2.0,1.0,0.0,39.0,54.0,61.0,26.0,1.0,3.1,0.3735,0.0984,0.2581,0.1935,0.0645,0.0323,0.4262,2021,11,noviembre
202111,DG2,A97,83.0,45.0,20.0,1.0,11.0,3.0,17.0,47.0,64.0,25.0,1.0,3.2,0.5422,0.3125,0.4667,0.4444,0.0222,0.2444,0.3906,2021,11,noviembre
202111,DG2,A101,83.0,40.0,11.0,3.0,5.0,0.0,57.0,31.0,53.0,17.0,0.0,2.7,0.4819,0.2075,0.35,0.275,0.075,0.125,0.3208,2021,11,noviembre
202111,DG2,A107,55.0,41.0,20.0,4.0,12.0,1.0,43.0,41.0,72.0,18.0,1.0,3.6,0.7455,0.2778,0.5854,0.4878,0.0976,0.2927,0.25,2021,11,noviembre
202111,DG3,A5,11.0,25.0,17.0,0.0,6.0,0.0,18.0,43.0,53.0,20.0,4.0,2.7,2.2727,0.3208,0.68,0.68,0.0,0.24,0.3774,2021,11,noviembre
202111,DG3,A15,83.0,77.0,14.0,4.0,5.0,0.0,37.0,39.0,50.0,19.0,0.0,2.5,0.9277,0.28,0.2338,0.1818,0.0519,0.0649,0.38,2021,11,noviembre
202111,DG3,A23,83.0,56.0,18.0,3.0,6.0,0.0,50.0,31.0,56.0,23.0,4.0,2.8,0.6747,0.3214,0.375,0.3214,0.0536,0.1071,0.4107,2021,11,noviembre
202111,DG3,A27,11.0,19.0,16.0,1.0,9.0,0.0,26.0,31.0,69.0,28.0,5.0,3.5,1.7273,0.2319,0.8947,0.8421,0.0526,0.4737,0.4058,2021,11,noviembre
202111,DG3,A35,17.0,27.0,11.0,1.0,1.0,0.0,13.0,31.0,37.0,17.0,0.0,1.9,1.5882,0.2973,0.4444,0.4074,0.037,0.037,0.4595,2021,11,noviembre
202111,DG3,A41,83.0,49.0,21.0,3.0,11.0,0.0,77.0,60.0,79.0,18.0,10.0,4.0,0.5904,0.2658,0.4898,0.4286,0.0612,0.2245,0.2278,2021,11,noviembre
202111,DG3,A59,55.0,23.0,12.0,0.0,6.0,0.0,9.0,42.0,44.0,27.0,1.0,2.2,0.4182,0.2727,0.5217,0.5217,0.0,0.2609,0.6136,2021,11,noviembre
202111,DG3,A63,49.0,34.0,14.0,1.0,6.0,0.0,19.0,26.0,48.0,15.0,0.0,2.4,0.6939,0.2917,0.4412,0.4118,0.0294,0.1765,0.3125,2021,11,noviembre
202111,DG3,A75,83.0,38.0,6.0,5.0,3.0,0.0,38.0,45.0,59.0,28.0,5.0,3.0,0.4578,0.1017,0.2895,0.1579,0.1316,0.0789,0.4746,2021,11,noviembre
202111,DG3,A78,83.0,46.0,21.0,3.0,11.0,1.0,42.0,35.0,76.0,23.0,1.0,3.8,0.5542,0.2763,0.5217,0.4565,0.0652,0.2391,0.3026,2021,11,noviembre
202111,DG3,A85,83.0,69.0,14.0,4.0,6.0,0.0,61.0,40.0,59.0,25.0,1.0,3.0,0.8313,0.2373,0.2609,0.2029,0.058,0.087,0.4237,2021,11,noviembre
202111,DG3,A95,83.0,91.0,45.0,4.0,25.0,0.0,50.0,73.0,131.0,58.0,5.0,6.6,1.0964,0.3435,0.5385,0.4945,0.044,0.2747,0.4427,2021,11,noviembre
202111,DG3,A98,83.0,47.0,17.0,9.0,5.0,0.0,39.0,58.0,66.0,30.0,7.0,3.3,0.5663,0.2576,0.5532,0.3617,0.1915,0.1064,0.4545,2021,11,noviembre
202111,DG3,A108,83.0,55.0,19.0,16.0,5.0,0.0,39.0,9.0,44.0,8.0,3.0,2.2,0.6627,0.4318,0.6364,0.3455,0.2909,0.0909,0.1818,2021,11,noviembre
202111,DG4,A17,17.0,25.0,7.0,3.0,3.0,0.0,18.0,38.0,39.0,16.0,5.0,2.0,1.4706,0.1795,0.4,0.28,0.12,0.12,0.4103,2021,11,noviembre
202111,DG4,A21,83.0,42.0,8.0,4.0,2.0,0.0,27.0,35.0,59.0,24.0,5.0,3.0,0.506,0.1356,0.2857,0.1905,0.0952,0.0476,0.4068,2021,11,noviembre
202111,DG4,A25,83.0,50.0,24.0,8.0,13.0,0.0,30.0,39.0,60.0,19.0,4.0,3.0,0.6024,0.4,0.64,0.48,0.16,0.26,0.3167,2021,11,noviembre
202111,DG4,A32,49.0,23.0,9.0,5.0,4.0,0.0,68.0,13.0,40.0,7.0,0.0,2.0,0.4694,0.225,0.6087,0.3913,0.2174,0.1739,0.175,2021,11,noviembre
202111,DG4,A39,83.0,62.0,27.0,8.0,10.0,0.0,38.0,59.0,79.0,28.0,0.0,4.0,0.747,0.3418,0.5645,0.4355,0.129,0.1613,0.3544,2021,11,noviembre
202111,DG4,A44,83.0,42.0,15.0,1.0,4.0,0.0,32.0,21.0,47.0,15.0,1.0,2.4,0.506,0.3191,0.381,0.3571,0.0238,0.0952,0.3191,2021,11,noviembre
202111,DG4,A46,83.0,52.0,10.0,7.0,3.0,0.0,32.0,28.0,36.0,11.0,2.0,1.8,0.6265,0.2778,0.3269,0.1923,0.1346,0.0577,0.3056,2021,11,noviembre
202111,DG4,A47,83.0,22.0,6.0,1.0,2.0,0.0,32.0,22.0,35.0,14.0,7.0,1.8,0.2651,0.1714,0.3182,0.2727,0.0455,0.0909,0.4,2021,11,noviembre
202111,DG4,A54,55.0,29.0,7.0,4.0,3.0,1.0,31.0,45.0,43.0,21.0,8.0,2.2,0.5273,0.1628,0.3793,0.2414,0.1379,0.1034,0.4884,2021,11,noviembre
202111,DG4,A77,83.0,31.0,9.0,2.0,4.0,0.0,18.0,21.0,35.0,14.0,0.0,1.8,0.3735,0.2571,0.3548,0.2903,0.0645,0.129,0.4,2021,11,noviembre
202111,DG4,A81,83.0,11.0,5.0,2.0,3.0,1.0,25.0,31.0,43.0,19.0,1.0,2.2,0.1325,0.1163,0.6364,0.4545,0.1818,0.2727,0.4419,2021,11,noviembre
202111,DG4,A82,55.0,35.0,3.0,1.0,3.0,1.0,48.0,69.0,80.0,29.0,0.0,4.0,0.6364,0.0375,0.1143,0.0857,0.0286,0.0857,0.3625,2021,11,noviembre
202111,DG4,A83,83.0,63.0,28.0,9.0,15.0,0.0,68.0,64.0,106.0,29.0,3.0,5.3,0.759,0.2642,0.5873,0.4444,0.1429,0.2381,0.2736,2021,11,noviembre
